#bin_low_edge   amplitude
0.27914         1.14797  
0.327504        1.19115  
0.375867        1.24487  
0.42423         5.20378  
# (1)
0.472594        1.39489  
0.520957        1.49978  
0.56932         1.63395  
0.617684        1.80936
0.666047        2.04573  
0.71441         2.37803  
0.762774        2.87413  
0.811137        3.68386  
0.8595          1.31161  
# (1)
0.907863        8.73259  
0.956227        14.5763  
1.00459         8.36115  
1.05295         4.73333  
1.10132         3.18539  
1.14968         2.36323  
1.19804         1.85933  
1.24641         1.52072  
1.29477         1.27837  
1.34313         1.09681  
1.3915          0.956026 
1.43986         0.843878 
1.48822         0.752592 
1.53659         0.67696  
1.58495         0.613366 
1.63331         0.55922  
1.68168         0.512621 
1.73004982      0        
