# S-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.02609         0.10496         4.44497         0               4.44497         0              
0.336226        1.27296         0.0748148       4.4922e-10      1.46366         4.44497         1.46366        
0.393312        1.26515         0.0613323       1.74565e-10     0.451872        4.44497         1.53183        
0.450398        1.40038         0.0572982       2.76046e-10     0.358959        4.44497         1.57332        
0.507484        1.45058         0.0554254       1.72226e-09     0.630391        4.44497         1.69492        
0.56457         1.55477         0.0535451       1.17309e-09     0.363163        4.44497         1.73339        
0.621656        1.79136         0.0523299       1.0145e-08      0.613148        4.44497         1.83864        
0.678742        2.10362         0.0544452       1.59453e-07     0.822325        4.44497         2.01415        
0.735828        2.51595         0.0572723       2.91512         2.27765         7.3601          3.04048        
0.792914        3.46914         0.0694685       2.7859          2.25402         10.146          3.78485        
0.85            4.33195         0.0980473       1.50427e-06     1.15045         10.146          3.95583        
0.866667        4.86669         0.104862        4.49182e-05     4.32923         10.146          5.86437        
0.883333        5.77277         0.11788         7.89637e-06     4.24275         10.146          7.23821        
0.9             6.53461         0.127653        4.29003e-07     0.670092        10.146          7.26917        
0.916667        7.61239         0.142847        27.27           2.03948         37.416          7.54985        
0.933333        9.87789         0.177181        11.3958         2.0425          48.8118         7.82126        
0.95            12.5831         0.220526        1.40872e-07     0.538396        48.8118         7.83977        
0.966667        14.5604         0.252503        20.2412         1.59617         69.053          8.00061        
0.983333        13.9921         0.243154        30.0179         1.90588         99.0709         8.22448        
1               11.2369         0.198269        17.3362         1.97661         116.407         8.45867        
1.01667         8.81785         0.160676        25.1857         1.69247         141.593         8.62633        
1.03333         7.39721         0.140166        1.14329e-06     1.14874         141.593         8.70248        
1.05            5.67934         0.115327        6.23369         2.05641         147.826         8.94214        
1.06667         4.64204         0.101035        4.99935         2.62913         152.826         9.32063        
1.08333         4.38063         0.10182         2.14802         3.59174         154.974         9.98873        
1.1             3.17097         0.0676983       1.09548         3.53637         156.069         10.5963        
1.142           2.3848          0.057113        13.7853         2.14052         169.855         10.8103        
1.18401         1.97795         0.0557322       2.03247e-09     0.226723        169.855         10.8127        
1.22601         1.7987          0.0549141       1.8922e-08      0.452512        169.855         10.8221        
1.26801         1.45717         0.0536825       5.76532         2.36109         175.62          11.0767        
1.31002         1.13274         0.0489378       6.32605e-12     0.72665         175.62          11.1005        
1.35202         0.918413        0.0498152       2.47332e-08     0.426543        175.62          11.1087        
1.39402         0.919453        0.0513459       1.37856e-08     1.31846         175.62          11.1867        
1.43603         0.798079        0.050432        1.07185e-07     0.693323        175.62          11.2081        
1.47803         0.795042        0.0534319       3.76672e-10     0.771561        175.62          11.2347        
1.52003         0.641223        0.0553075       6.04968e-09     1.68782         175.62          11.3607        
1.56204         0.663087        0.0691248       23.4422         12.7411         199.062         17.0705        
1.60404         1.29077         0.144203        23.2719         12.86           222.334         21.3725        
1.64604         0.833451        0.135024        4.10695e-07     3.97056         222.334         21.7382        
1.68805         0.79672         0.316512        0.000103781     23.0196         222.334         31.6615        

