# S-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.12976         0               4.44497         0               4.44497         0              
0.336226        1.1763          0               0.183491        0               4.62846         0              
0.393312        1.23667         0               0.238121        0               4.86658         0              
0.450398        1.31468         0               0.307785        0               5.17437         0              
0.507484        1.41603         0               0.400115        0               5.57448         0              
0.56457         1.54963         0               0.527835        0               6.10232         0              
0.621656        1.73002         0               0.713563        0               6.81588         0              
0.678742        1.98257         0               1.00081         0               7.8167          0              
0.735828        2.35551         0               1.48239         0               9.29909         0              
0.792914        2.9524          0               2.38615         0               11.6852         0              
0.85            4.03888         0               4.40002         0               16.0853         0              
0.866667        4.5404          0               2.06268         0               18.1479         0              
0.883333        5.18825         0               2.70153         0               20.8495         0              
0.9             6.04938         0               3.66908         0               24.5185         0              
0.916667        7.22907         0               5.2115          0               29.73           0              
0.933333        8.8811          0               7.80477         0               37.5348         0              
0.95            11.1398         0               12.3            0               49.8349         0              
0.966667        13.634          0               19.4405         0               69.2753         0              
0.983333        14.5114         0               26.1742         0               95.4495         0              
1               12.6248         0               24.5466         0               119.996         0              
1.01667         9.96725         0               16.8663         0               136.862         0              
1.03333         7.84804         0               10.5645         0               147.427         0              
1.05            6.33745         0               6.80379         0               154.231         0              
1.06667         5.25815         0               4.62559         0               158.856         0              
1.08333         4.46478         0               3.30832         0               162.165         0              
1.1             3.86316         0               2.4677          0               164.632         0              
1.142           2.85267         0               4.08251         0               168.715         0              
1.18401         2.23829         0               2.45268         0               171.167         0              
1.22601         1.82809         0               1.62826         0               172.796         0              
1.26801         1.53591         0               1.15617         0               173.952         0              
1.31002         1.31778         0               0.861475        0               174.813         0              
1.35202         1.14907         0               0.665497        0               175.479         0              
1.39402         1.01493         0               0.528722        0               176.008         0              
1.43603         0.905874        0               0.429568        0               176.437         0              
1.47803         0.815599        0               0.355448        0               176.793         0              
1.52003         0.739731        0               0.298623        0               177.091         0              
1.56204         0.675152        0               0.254126        0               177.345         0              
1.60404         0.619578        0               0.21865         0               177.564         0              
1.64604         0.571297        0               0.189926        0               177.754         0              
1.68805         0.529004        0               0.166352        0               177.92          0              

