#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.86906         0.0423386       0               0               0               0              
0.53957         2.71235         0.0288481       -0.782048       1.68411         -0.782048       1.68411        
0.8             4.04176         0.0883472       1.13709         1.5811          0.355043        2.31           
0.817857        4.50475         0.0921434       4.07171         1.5511          4.42675         2.78244        
0.835714        4.78214         0.092467        -4.33925        1.52897         0.0875077       3.17486        
0.853571        5.29045         0.0872128       3.93419         1.13029         4.0217          3.37006        
0.871429        5.85733         0.0860578       4.69977         1.4493          8.72147         3.66848        
0.889286        6.93154         0.0882666       -2.54262        1.3953          6.17885         3.92487        
0.907143        8.03565         0.0858273       10.4575         1.18849         16.6364         4.10087        
0.925           9.53748         0.0820268       25.5325         1.33165         42.1688         4.31166        
0.942857        12.4452         0.0929481       2.40598         1.24349         44.5748         4.48739        
0.960714        15.2231         0.101386        10.4557         1.1815          55.0305         4.64033        
0.978571        14.2143         0.0961875       23.5061         0.822948        78.5366         4.71274        
0.996429        12.2031         0.0977937       33.0123         1.44158         111.549         4.92829        
1.01429         9.07498         0.0895405       25.6026         1.62213         137.151         5.18838        
1.03214         6.95523         0.0942007       -4.39264        1.61158         132.759         5.43291        
1.05            3.50868         0.0434436       7.41244         1.42096         140.171         5.61566        
1.1375          1.25022         0.0409459       8.33331         1.64504         148.505         5.85165        
1.225           0.612542        0.0448297       -44.1948        4.14913         104.31          7.17336        
1.3125          1.27867         0.043777        -75.9156        4.27854         28.3941         8.35243        
1.4             2.33715         0.0855267       0.475618        3.46822         28.8697         9.04387        
1.42            3.0751          0.0858415       6.753           3.9078          35.6227         9.85203        
1.44            4.04304         0.0841271       6.66752         2.47772         42.2902         10.1588        
1.46            4.76088         0.0875618       17.9048         1.99866         60.1951         10.3536        
1.48            5.5171          0.0896123       8.63663         1.47363         68.8317         10.4579        
1.5             6.99901         0.11391         32.1527         1.98753         100.984         10.6451        
1.52            6.61389         0.136014        18.8957         1.92808         119.88          10.8183        
1.54            4.2417          0.141555        -13.5229        2.56287         106.357         11.1177        
1.56            4.76496         0.177665        32.9634         2.61968         139.321         11.4222        
1.58            3.52405         0.184367        -2.77169        2.61771         136.549         11.7183        
1.6             3.14207         0.121923        16.4525         2.43282         153.001         11.9682        
1.66502         2.09395         0.187289        47.7905         2.81891         200.792         12.2957        
1.73004982      0               0               0               0               0               0
