#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.5857          0               0               0               0               0              
0.53957         1.99119         0               1.17285         0               1.17285         0              
0.8             3.66109         0               5.45694         0               6.62979         0              
0.817857        3.95809         0               1.05423         0               7.68402         0              
0.835714        4.32119         0               1.31647         0               9.00049         0              
0.853571        4.77444         0               1.68318         0               10.6837         0              
0.871429        5.35444         0               2.21499         0               12.8987         0              
0.889286        6.11864         0               3.02086         0               15.9195         0              
0.907143        7.15928         0               4.30798         0               20.2275         0              
0.925           8.62107         0               6.49057         0               26.7181         0              
0.942857        10.6828         0               10.3953         0               37.1134         0              
0.960714        13.2406         0               17.2658         0               54.3792         0              
0.978571        14.7093         0               25.968          0               80.3472         0              
0.996429        12.9564         0               27.3008         0               107.648         0              
1.01429         9.85874         0               19.1505         0               126.799         0              
1.03214         7.37362         0               11.4122         0               138.211         0              
1.05            5.64957         0               6.80849         0               145.019         0              
1.1375          2.02401         0               8.49995         0               153.519         0              
1.225           0.758854        0               -19.1062        0               134.413         0              
1.3125          0.738162        0               -80.5124        0               53.9005         0              
1.4             2.11086         0               -15.4369        0               38.4636         0              
1.42            2.66559         0               2.91079         0               41.3744         0              
1.44            3.38116         0               5.45942         0               46.8338         0              
1.46            4.28705         0               8.92628         0               55.7601         0              
1.48            5.30846         0               13.5711         0               69.3312         0              
1.5             6.09027         0               18.3345         0               87.6658         0              
1.52            6.14864         0               19.9521         0               107.618         0              
1.54            5.55553         0               16.9239         0               124.542         0              
1.56            4.77997         0               12.2375         0               136.779         0              
1.58            4.08776         0               8.42552         0               145.205         0              
1.6             3.53223         0               5.86008         0               151.065         0              
1.66502         2.4111          0               10.1749         0               161.24          0              
