# P-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         5.62405e-10     0.573859        -0.351752       1.37375         -0.351752       1.37375        
0.332617        9.91584         6.21662         -11.8879        1.35243         -12.2397        1.92776        
0.386094        0.251077        0.245951        -74.4867        10.0908         -86.7264        10.2733        
0.43957         1.2911e-07      0.0738967       45.538          5.27648         -41.1884        11.5491        
0.493047        4.02641         0.592486        51.1086         5.63504         9.9202          12.8505        
0.546523        3.49364         0.470156        17.4423         2.60193         27.3625         13.1113        
0.6             2.82387         0.783026        5.1935          4.83662         32.556          13.9749        
0.628571        1.50443e-07     0.0762132       -9.26933        1.55018         23.2867         14.0606        
0.657143        4.92661e-12     0.111348        -3.73415        1.71398         19.5525         14.1647        
0.685714        7.35591         0.397001        -6.8273         1.85672         12.7252         14.2859        
0.714286        4.81158         0.333052        -126.989        2.38666         -114.264        14.4839        
0.742857        5.77767         0.289283        10.728          2.42564         -103.536        14.6856        
0.771429        6.30676         0.256403        22.0557         2.0572          -81.4798        14.829         
0.8             6.47481         0.191495        31.5599         2.96884         -49.9199        15.1233        
0.828571        6.57109         0.207167        20.203          2.47072         -29.7169        15.3238        
0.857143        5.33432         0.258014        14.2402         2.45463         -15.4767        15.5191        
0.885714        5.15519         0.328455        7.06601         2.37693         -8.41067        15.7001        
0.914286        5.09421         0.361186        7.65818         2.34971         -0.752482       15.8749        
0.942857        5.38153         0.429839        -15.9979        2.35896         -16.7504        16.0492        
0.971429        1.41183         0.161168        -56.6565        12.6233         -73.4068        20.4187        
1               1.63438         0.177779        54.5086         13.341          -18.8982        24.3907        
1.073           1.30961         0.207246        9.17837         7.9659          -9.71984        25.6586        
1.14601         1.92513         0.221843        16.0686         7.4735          6.34876         26.7248        
1.21901         2.09429         0.204236        18.9717         5.98159         25.3205         27.386         
1.29202         2.20579         0.216462        -23.6036        6.09084         1.71694         28.0552        
1.36502         2.96214         0.275131        -12.7328        6.65621         -11.0159        28.834         
1.43803         2.60376         0.35842         2.68648         6.77882         -8.32938        29.6201        
1.51103         1.96518e-11     0.0580244       -139.997        13.0752         -148.326        32.3776        
1.58404         2.616           0.573433        72.2197         17.8473         -76.1067        36.9708        
1.65704         2.32824         0.443425        -140            28.7503         -216.107        46.8339        
1.73004982      0               0               0               0               0               0
