# P-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.86521         0               12.48           0               12.48           0              
0.332617        1.98318         0               0.803332        0               13.2834         0              
0.386094        2.1417          0               1.08371         0               14.3671         0              
0.43957         2.35689         0               1.47966         0               15.8467         0              
0.493047        2.65565         0               2.07263         0               17.9194         0              
0.546523        3.08535         0               3.02513         0               20.9445         0              
0.6             3.73484         0               4.69525         0               25.6398         0              
0.628571        4.22669         0               3.68089         0               29.3206         0              
0.657143        4.86968         0               5.02555         0               34.3462         0              
0.685714        5.71368         0               7.10462         0               41.4508         0              
0.714286        6.78266         0               10.3464         0               51.7972         0              
0.742857        7.93598         0               15.0483         0               66.8455         0              
0.771429        8.61858         0               20.0505         0               86.896          0              
0.8             8.1884          0               21.5371         0               108.433         0              
0.828571        6.95503         0               17.8796         0               126.313         0              
0.857143        5.66189         0               12.6936         0               139.006         0              
0.885714        4.61508         0               8.67047         0               147.677         0              
0.914286        3.82278         0               6.03415         0               153.711         0              
0.942857        3.22524         0               4.34695         0               158.058         0              
0.971429        2.76728         0               3.24217         0               161.3           0              
1               2.40899         0               2.49338         0               163.793         0              
1.073           1.77928         0               4.31014         0               168.104         0              
1.14601         1.38635         0               2.65359         0               170.757         0              
1.21901         1.12087         0               1.78129         0               172.538         0              
1.29202         0.930928        0               1.26987         0               173.808         0              
1.36502         0.789132        0               0.945989        0               174.754         0              
1.43803         0.679757        0               0.728699        0               175.483         0              
1.51103         0.59318         0               0.576281        0               176.059         0              
1.58404         0.523201        0               0.465514        0               176.525         0              
1.65704         0.465649        0               0.382668        0               176.907         0              
