# S-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         17.341          0               57.037          0               57.037          0              
0.38957         16.2615         0.314231        17.2805         2.95744         74.3175         2.95744        
0.5             13.1386         0.3102          31.4567         3.5103          105.774         4.59006        
0.535           12.2112         0.277421        -11.2348        2.9617          94.5393         5.46263        
0.57            10.6493         0.254356        1.93515         2.35753         96.4745         5.94965        
0.605           10.3277         0.254567        -0.912676       2.56895         95.5618         6.48057        
0.64            8.61            0.236774        11.6595         3.69536         107.221         7.46013        
0.675           7.8326          0.219763        -2.69942        3.45765         104.522         8.22246        
0.71            6.56558         0.242831        -2.62189        2.32645         101.9           8.54525        
0.745           5.33525         0.216746        -6.66547        2.61223         95.2345         8.9356         
0.78            5.79855         0.22025         -10.9967        2.1322          84.2378         9.18647        
0.815           3.88317         0.214434        10.7142         3.38247         94.952          9.7894         
0.85            4.13359         0.283546        -18.1897        2.88272         76.7623         10.205         
0.8625          4.39677         0.295679        3.42885         2.83298         80.1912         10.5909        
0.875           4.66187         0.293964        -4.32941        1.86818         75.8618         10.7545        
0.8875          5.74466         0.340312        -5.93933        3.75351         69.9224         11.3907        
0.9             5.75395         0.353066        -8.38           3.09904         61.5424         11.8047        
0.9125          7.29461         0.277058        13.5825         3.27024         75.1249         12.2493        
0.925           8.78638         0.278871        -1.1983         2.06912         73.9266         12.4228        
0.9375          12.5741         0.323349        -4.63364        1.79345         69.2929         12.5516        
0.95            14.7039         0.364197        -5.07108        2.35888         64.2219         12.7714        
0.9625          18.513          0.413614        14.0682         2.1693          78.2901         12.9543        
0.975           19.8494         0.451154        -1.43959        2.77053         76.8505         13.2472        
0.9875          18.1685         0.431093        55.9185         3.21931         132.769         13.6328        
1               16.398          0.381123        -14.8529        4.2461          117.916         14.2787        
1.0125          13.0827         0.352258        38.4701         3.33418         156.386         14.6629        
1.025           11.6754         0.324565        3.40131         2.62872         159.787         14.8966        
1.0375          10.4577         0.310699        2.79804         2.25276         162.586         15.066         
1.05            9.19519         0.281031        5.87509         1.93998         168.461         15.1904        
1.0625          7.67454         0.246155        -11.1319        2.44866         157.329         15.3865        
1.075           6.78127         0.244509        15.9808         2.44084         173.31          15.5789        
1.0875          6.90743         0.247816        -8.272          2.92356         165.038         15.8508        
1.1             5.42695         0.162375        3.26478         2.58228         168.302         16.0598        
1.14167         4.47385         0.157827        12.6441         3.00991         180.946         16.3394        
1.18333         4.34751         0.166889        2.12767         2.42935         183.074         16.519         
1.225           4.15163         0.179825        1.36933         2.76131         184.443         16.7482        
1.26667         3.93972         0.18609         14.1286         2.81497         198.572         16.9831        
1.30833         3.33748         0.211109        3.51371         3.06197         202.086         17.257         
1.35            2.72408         0.252509        -2.82562        4.45899         199.26          17.8237        
1.375           3.32425         0.24924         33.653          5.75205         232.913         18.7289        
1.4             2.76362         0.261014        -2.61184        4.30967         230.301         19.2183        
1.425           1.66584         0.285007        4.85436         7.57741         235.156         20.6582        
1.45            1.27404         0.248566        30.9763         10.5793         266.132         23.2095        
1.475           0.100919        0.323899        136.939         1.9342          403.071         23.29          
1.5             3.1446          0.235145        76.1799         16.3113         479.251         28.4338        
1.525           3.94713         0.266226        24.0991         4.50973         503.35          28.7892        
1.55            5.07162         0.312698        8.92526         3.37796         512.275         28.9867        
1.575           6.39548         0.331642        9.3351          2.89756         521.61          29.1312        
1.6             6.32983         0.351442        10.4991         2.08264         532.109         29.2056        
1.66502         5.84899         0.436729        -2.23434        2.40048         529.875         29.304         
