# D-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         3.6919e-08      0.467351        -70.8075        2.52616         -70.8075        2.52616        
0.375498        6.9836          0.300815        34.9382         1.74668         -35.8693        3.07122        
0.471855        2.2948          0.300972        -72.3791        6.07077         -108.248        6.80343        
0.568213        3.11941         0.225137        -18.8092        6.11172         -127.058        9.14548        
0.66457         2.57655         0.155777        -11.8699        2.59703         -138.927        9.50707        
0.760928        3.84475         0.134448        -5.15204        2.44622         -144.079        9.81674        
0.857285        3.29106         0.112076        11.708          1.85765         -132.372        9.99096        
0.953643        2.88346         0.0807372       28.7922         2.45089         -103.579        10.2872        
1.05            3.87913         0.151862        -6.24539        1.8528          -109.825        10.4527        
1.075           4.04616         0.126159        19.0894         3.37819         -90.7354        10.985         
1.1             4.43377         0.122576        -0.38239        2.8526          -91.1178        11.3494        
1.125           4.85679         0.14494         -9.69401        3.20246         -100.812        11.7925        
1.15            5.25755         0.148658        28.3493         1.93737         -72.4625        11.9506        
1.175           6.01632         0.168295        4.49985         2.06745         -67.9627        12.1281        
1.2             7.54855         0.192537        5.0064          2.0211          -62.9563        12.2954        
1.225           8.3269          0.213847        0.793829        2.22053         -62.1624        12.4943        
1.25            9.11405         0.228392        12.935          1.99535         -49.2274        12.6526        
1.275           9.42489         0.25377         21.2661         2.05325         -27.9614        12.8181        
1.3             9.35228         0.271167        7.41538         2.22649         -20.546         13.0101        
1.325           8.08761         0.364672        9.19721         2.36955         -11.3488        13.2241        
1.35            7.47156         0.463608        13.0592         2.95538         1.71042         13.5503        
1.375           4.96442         0.549904        29.5907         4.90612         31.3011         14.4111        
1.4             6.67536         0.592777        3.77285         5.24164         35.0739         15.3348        
1.44126         8.28409         0.775089        11.4714         5.93686         46.5454         16.4439        
1.48251         7.07833         1.13561         46.452          8.96939         92.9974         18.731         
1.52377         1.09398e-07     0.54208         -7.94524        27.8599         85.0521         33.5712        
1.56502         5.3808          2.97551         104.35          33.232          189.402         47.2376        
1.60628         10.6814         0.168002        -42.7028        26.0838         146.699         53.9607        
1.64754         9.42653         0.997384        17.2268         49.0772         163.926         72.9406        
1.68879         8.40906         8.39696         4.62347         115.538         168.549         136.635        
