# D-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.34112         0               -114.331        0               -114.331        0              
0.375498        1.39672         0               0.362329        0               -113.968        0              
0.471855        1.47581         0               0.516097        0               -113.452        0              
0.568213        1.58584         0               0.719258        0               -112.733        0              
0.66457         1.73911         0               1.00465         0               -111.728        0              
0.760928        1.95686         0               1.43357         0               -110.295        0              
0.857285        2.27846         0               2.13235         0               -108.163        0              
0.953643        2.78396         0               3.3961          0               -104.766        0              
1.05            3.65767         0               6.03965         0               -98.7268        0              
1.075           3.99117         0               2.37883         0               -96.3479        0              
1.1             4.39159         0               2.92378         0               -93.4241        0              
1.125           4.87595         0               3.65495         0               -89.7692        0              
1.15            5.46339         0               4.65109         0               -85.1181        0              
1.175           6.16964         0               6.01893         0               -79.0992        0              
1.2             6.99002         0               7.87672         0               -71.2225        0              
1.225           7.85934         0               10.2678         0               -60.9546        0              
1.25            8.59308         0               12.9233         0               -48.0313        0              
1.275           8.89751         0               14.9694         0               -33.0619        0              
1.3             8.5863          0               15.2607         0               -17.8012        0              
1.325           7.79707         0               13.5996         0               -4.20161        0              
1.35            6.83617         0               10.998          0               6.79638         0              
1.375           5.92088         0               8.48652         0               15.2829         0              
1.4             5.13354         0               6.47988         0               21.7628         0              
1.44126         4.12309         0               7.63061         0               29.3934         0              
1.48251         3.39396         0               5.18309         0               34.5765         0              
1.52377         2.85745         0               3.69096         0               38.2674         0              
1.56502         2.45161         0               2.73847         0               41.0059         0              
1.60628         2.13629         0               2.1017          0               43.1076         0              
1.64754         1.88545         0               1.65826         0               44.7659         0              
1.68879         1.68181         0               1.33852         0               46.1044         0              
