# P-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         8.18631         1.45828         -119.649        10.3474         -119.649        10.3474        
0.332617        3.33281         0.719813        4.70305         12.5694         -114.946        16.2807        
0.386094        10.7085         0.205893        -51.6185        3.19403         -166.564        16.591         
0.43957         7.4234          0.838757        5.54059         2.95691         -161.024        16.8524        
0.493047        3.91345         0.473371        26.6347         4.9548          -134.389        17.5657        
0.546523        0.154044        0.294561        47.1615         20.7988         -87.2275        27.224         
0.6             1.85298         0.565257        -58.5343        20.3731         -145.762        34.0031        
0.628571        2.55353         0.489823        16.037          6.37766         -129.725        34.596         
0.657143        2.79493         0.426665        -1.9757         3.81322         -131.7          34.8055        
0.685714        4.21017         0.415142        3.00095         3.53625         -128.699        34.9847        
0.714286        6.04304         0.358929        8.6891          3.06597         -120.01         35.1188        
0.742857        6.61087         0.277314        4.45199         2.7093          -115.558        35.2231        
0.771429        6.84416         0.24583         25.2569         2.31315         -90.3014        35.299         
0.8             6.69306         0.260121        21.4433         2.19298         -68.8581        35.367         
0.828571        5.91304         0.28411         17.8346         2.23955         -51.0235        35.4379        
0.857143        6.24561         0.2511          23.2456         2.39797         -27.778         35.5189        
0.885714        4.79426         0.286329        2.84054         2.51945         -24.9374        35.6082        
0.914286        5.63648         0.333275        13.3046         2.40173         -11.6329        35.6891        
0.942857        3.61267         0.546788        -22.163         2.58054         -33.7959        35.7822        
0.971429        2.94502         0.31853         4.53805         4.01967         -29.2578        36.0073        
1               1.20753         0.199278        0.668547        9.5145          -28.5893        37.2432        
1.073           2.24592         0.260016        4.20584         8.40139         -24.3834        38.179         
1.14601         3.07535         0.271757        27.9367         4.85373         3.55329         38.4863        
1.21901         1.50835         0.240137        24.7445         6.57194         28.2978         39.0434        
1.29202         1.04678e-05     0.16951         -90.3368        14.8682         -62.039         41.7785        
1.36502         0.686428        0.374022        48.2552         16.7881         -13.7838        45.0254        
1.43803         0.347653        0.489454        -11.4348        23.5286         -25.2186        50.8024        
1.51103         2.31565         0.542179        -136.961        44.4363         -162.179        67.4942        
1.58404         2.616           0.181901        140             9.74474         -22.1791        68.1941        
1.65704         2.32811         1.58972         140             7.99812         117.821         68.6615        
