# S-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         17.341          0               57.037          0               57.037          0              
0.38957         17.0907         0.208858        12.7439         1.42142         69.7809         1.42142        
0.5             15.4403         0.254264        11.9746         2.17961         81.7555         2.60214        
0.535           12.3978         0.237459        27.4425         3.35662         109.198         4.24712        
0.57            11.023          0.223425        2.16245         3.24029         111.36          5.34205        
0.605           10.459          0.225356        2.20204         3.49642         113.562         6.38455        
0.64            8.72182         0.219441        23.0452         3.73859         136.608         7.39861        
0.675           8.40001         0.237017        -25.0433        2.86824         111.564         7.93513        
0.71            6.81425         0.264282        5.13298         3.32337         116.697         8.60297        
0.745           5.9994          0.240777        -17.0022        3.01022         99.6951         9.11441        
0.78            6.49143         0.217095        -16.5392        1.93069         83.156          9.31666        
0.815           5.24438         0.226904        -11.335         1.99724         71.821          9.52833        
0.85            4.83968         0.307078        -13.9594        1.49543         57.8616         9.64497        
0.8625          5.01691         0.328469        10.3641         1.64659         68.2257         9.78451        
0.875           5.63086         0.320913        -8.64942        1.81869         59.5763         9.9521         
0.8875          7.8443          0.360166        -12.7609        2.42747         46.8154         10.2439        
0.9             6.69702         0.374065        -5.55574        1.69574         41.2597         10.3833        
0.9125          7.99566         0.282152        18.9643         2.63582         60.224          10.7126        
0.925           9.56143         0.279565        -2.33132        2.15568         57.8927         10.9273        
0.9375          15.3912         0.341305        -14.1076        1.97192         43.7851         11.1038        
0.95            17.2738         0.336911        2.64221         1.70449         46.4273         11.2339        
0.9625          21.5374         0.353412        12.2884         1.60917         58.7157         11.3486        
0.975           21.6259         0.35075         11.0143         1.64471         69.73           11.4671        
0.9875          20.3594         0.319824        54.7057         2.41727         124.436         11.7191        
1               17.3378         0.286921        -17.2243        3.14045         107.211         12.1326        
1.0125          13.131          0.258988        18.378          2.06229         125.589         12.3067        
1.025           11.8218         0.257321        1.31549         1.61018         126.905         12.4115        
1.0375          10.6613         0.272587        7.77383         1.87542         134.679         12.5524        
1.05            8.36106         0.261226        -6.29979        2.08982         128.379         12.7252        
1.0625          7.19344         0.270592        12.6491         1.75365         141.028         12.8455        
1.075           6.38976         0.308693        20.8715         2.49036         161.9           13.0847        
1.0875          6.95582         0.318069        1.52412         2.06764         163.424         13.247         
1.1             4.93052         0.214504        3.34759         2.14456         166.771         13.4195        
1.14167         5.29505         0.217761        18.8023         2.01817         185.574         13.5704        
