# S-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         17.341          0               57.037          0               57.037          0              
0.38957         18.3904         0               17.9886         0               75.0256         0              
0.5             16.4529         0               24.6273         0               99.6529         0              
0.535           15.0611         0               7.45005         0               107.103         0              
0.57            13.4835         0               6.53817         0               113.641         0              
0.605           11.8609         0               5.35064         0               118.992         0              
0.64            10.2959         0               3.98088         0               122.973         0              
0.675           8.847           0               2.43584         0               125.408         0              
0.71            7.54107         0               0.603145        0               126.012         0              
0.745           6.3946          0               -1.79331        0               124.218         0              
0.78            5.44334         0               -5.25188        0               118.966         0              
0.815           4.79869         0               -10.3179        0               108.648         0              
0.85            4.7529          0               -15.9714        0               92.6771         0              
0.8625          4.9813          0               -6.35794        0               86.3192         0              
0.875           5.39102         0               -6.04008        0               80.2791         0              
0.8875          6.02347         0               -5.22788        0               75.0512         0              
0.9             6.93202         0               -3.96368        0               71.0875         0              
0.9125          8.19114         0               -2.29484        0               68.7927         0              
0.925           9.9066          0               -0.195488       0               68.5972         0              
0.9375          12.2144         0               2.49188         0               71.0891         0              
0.95            15.2191         0               6.06206         0               77.1511         0              
0.9625          18.7259         0               10.725          0               87.8762         0              
0.975           21.674          0               15.6791         0               103.555         0              
0.9875          22.368          0               18.104          0               121.659         0              
1               20.6519         0               16.0672         0               137.727         0              
1.0125          18.0211         0               11.862          0               149.589         0              
1.025           15.5432         0               8.16479         0               157.753         0              
1.0375          13.5076         0               5.62203         0               163.375         0              
1.05            11.889          0               3.98413         0               167.359         0              
1.0625          10.598          0               2.93082         0               170.29          0              
1.075           9.55273         0               2.24116         0               172.531         0              
1.0875          8.69108         0               1.78001         0               174.311         0              
1.1             7.96796         0               1.46616         0               175.778         0              
1.14167         6.20225         0               3.6694          0               179.447         0              
1.18333         4.99998         0               2.97324         0               182.42          0              
1.225           4.08019         0               3.08502         0               185.505         0              
1.26667         3.30326         0               3.81201         0               189.317         0              
1.30833         2.57852         0               5.47897         0               194.796         0              
1.35            1.82348         0               9.6073          0               204.404         0              
1.375           1.31988         0               11.4106         0               215.814         0              
1.4             0.797087        0               27.8438         0               243.658         0              
1.425           0.725668        0               75.9747         0               319.633         0              
1.45            1.68536         0               48.0434         0               367.676         0              
1.475           3.25683         0               27.3769         0               395.053         0              
1.5             4.98774         0               28.3303         0               423.383         0              
1.525           5.85099         0               28.3038         0               451.687         0              
1.55            5.6661          0               21.4909         0               473.178         0              
1.575           5.13353         0               14.0359         0               487.214         0              
1.6             4.61619         0               9.13258         0               496.346         0              
1.66502         3.65573         0               12.7991         0               509.146         0              

# P-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.86521         0               12.48           0               12.48           0              
