# d-bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         7.35309e-06     0.425601        0               0               0               0              
0.356226        1.77375         0.27089         11.7769         1.48619         11.7769         1.48619        
0.433312        0.68209         0.0940675       2.40389         0.975811        14.1808         1.77791        
0.510398        0.671238        0.0484707       0.00757774      0.320085        14.1883         1.80649        
0.587484        0.790471        0.0367782       0.00048841      0.218239        14.1888         1.81963        
0.66457         0.957224        0.0287188       0.000429297     0.12772         14.1893         1.8241         
0.741656        0.895357        0.0218975       0.00875033      0.00165123      14.198          1.8241         
0.818742        1.10468         0.0210353       2.21765         1.49789         16.4157         2.3603         
0.895828        1.27134         0.0246918       0.000755545     0.27852         16.4164         2.37668        
0.972914        1.87667         0.0553038       0.00287181      0.055284        16.4193         2.37732        
1.05            2.01949         0.0651701       0.00645048      0.0791176       16.4257         2.37864        
1.075           2.17915         0.0590433       7.58502         0.944697        24.0108         2.55937        
1.1             2.52582         0.0543593       1.19012         0.732902        25.2009         2.66224        
1.125           2.2584          0.0577238       10.5227         1.58109         35.7236         3.09635        
1.15            2.80248         0.0629776       4.7976          1.08996         40.5212         3.28259        
1.175           2.97537         0.0677067       4.5488          0.823018        45.07           3.38419        
1.2             3.95339         0.0705724       0.000194967     0.106984        45.0702         3.38588        
1.225           4.1532          0.0726484       9.82693         1.29984         54.8971         3.62681        
1.25            4.09012         0.0750454       19.795          1.50075         74.6921         3.92505        
1.275           4.45449         0.0798879       18.7575         1.3535          93.4496         4.15187        
1.3             3.85744         0.0762164       9.87931         1.12485         103.329         4.30154        
1.325           3.77178         0.0958886       10.9725         1.65732         114.301         4.60977        
1.35            3.35608         0.126997        19.6212         1.54667         133.923         4.86232        
1.375           2.53035         0.142804        0.000121906     0.122902        133.923         4.86387        
1.4             2.4329          0.148912        22.636          3.68133         156.559         6.09995        
1.45501         1.27587         0.21248         39.3719         8.87873         195.931         10.7722        
1.51002         1.25871         0.442064        0.0155686       0.0904799       195.946         10.7726        
1.56502         8.02202         1.30103         63.9246         11.8001         259.871         15.9779        
1.62003         9.99879         5.19006         0.000405265     2.09963         259.871         16.1152        
1.67504         1.22985e-09     12.6659         44.5572         98.4567         304.428         99.7668        
1.73004982      0               0               0               0               0               0

