# D-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         0.638631        0               0               0               0               0              
0.356226        0.659           0               0.278747        0               0.278747        0              
0.433312        0.686173        0               0.372172        0               0.650919        0              
0.510398        0.721697        0               0.48717         0               1.13809         0              
0.587484        0.767867        0               0.634241        0               1.77233         0              
0.66457         0.828145        0               0.830003        0               2.60233         0              
0.741656        0.907926        0               1.10227         0               3.7046          0              
0.818742        1.01599         0               1.50063         0               5.20524         0              
0.895828        1.1675          0               2.12056         0               7.32579         0              
0.972914        1.39053         0               3.16413         0               10.4899         0              
1.05            1.74175         0               5.11408         0               15.604          0              
1.075           1.90056         0               2.37883         0               17.9828         0              
1.1             2.09124         0               2.92378         0               20.9066         0              
1.125           2.32188         0               3.65495         0               24.5616         0              
1.15            2.60162         0               4.65109         0               29.2127         0              
1.175           2.93793         0               6.01893         0               35.2316         0              
1.2             3.32858         0               7.87672         0               43.1083         0              
1.225           3.74254         0               10.2678         0               53.3761         0              
1.25            4.09194         0               12.9233         0               66.2994         0              
1.275           4.23691         0               14.9694         0               81.2688         0              
1.3             4.08871         0               15.2607         0               96.5295         0              
1.325           3.71289         0               13.5996         0               110.129         0              
1.35            3.25532         0               10.998          0               121.127         0              
1.375           2.81947         0               8.48652         0               129.614         0              
1.4             2.44454         0               6.47988         0               136.094         0              
1.45501         1.83508         0               9.5716          0               145.665         0              
1.51002         1.43773         0               5.82926         0               151.494         0              
1.56502         1.16743         0               3.84227         0               155.337         0              
1.62003         0.974526        0               2.69652         0               158.033         0              
1.67504         0.831076        0               1.98558         0               160.019         0              

