# D wave
#bin_low_edge   amp           d_amp         phase         d_phase
0.27914         7.35309e-06   4.25601e-01   0.00000e+00   0
0.356226        1.77375e+00   2.70890e-01   1.17769e+01   1.48619e+00
0.433312        6.82090e-01   9.40675e-02   2.40389e+00   9.75811e-01
0.510398        6.71238e-01   4.84707e-02   7.57774e-03   3.20085e-01
0.587484        7.90471e-01   3.67782e-02   4.88410e-04   2.18239e-01
0.66457         9.57224e-01   2.87188e-02   4.29297e-04   1.27720e-01
0.741656        8.95357e-01   2.18975e-02   8.75033e-03   1.65123e-03
0.818742        1.10468e+00   2.10353e-02   2.21765e+00   1.49789e+00
0.895828        1.27134e+00   2.46918e-02   7.55545e-04   2.78520e-01
0.972914        1.87667e+00   5.53038e-02   2.87181e-03   5.52840e-02
1.05            2.01949e+00   6.51701e-02   6.45048e-03   7.91176e-02
1.075           2.17915e+00   5.90433e-02   7.58502e+00   9.44697e-01
1.1             2.52582e+00   5.43593e-02   1.19012e+00   7.32902e-01
1.125           2.25840e+00   5.77238e-02   1.05227e+01   1.58109e+00
1.15            2.80248e+00   6.29776e-02   4.79760e+00   1.08996e+00
1.175           2.97537e+00   6.77067e-02   4.54880e+00   8.23018e-01
1.2             3.95339e+00   7.05724e-02   1.94967e-04   1.06984e-01
1.225           4.15320e+00   7.26484e-02   9.82693e+00   1.29984e+00
1.25            4.09012e+00   7.50454e-02   1.97950e+01   1.50075e+00
1.275           4.45449e+00   7.98879e-02   1.87575e+01   1.35350e+00
1.3             3.85744e+00   7.62164e-02   9.87931e+00   1.12485e+00
1.325           3.77178e+00   9.58886e-02   1.09725e+01   1.65732e+00
1.35            3.35608e+00   1.26997e-01   1.96212e+01   1.54667e+00
1.375           2.53035e+00   1.42804e-01   1.21906e-04   1.22902e-01
1.4             2.43290e+00   1.48912e-01   2.26360e+01   3.68133e+00
1.45501         1.27587e+00   2.12480e-01   3.93719e+01   8.87873e+00
1.51002         1.25871e+00   4.42064e-01   1.55686e-02   9.04799e-02
1.56502         8.02202e+00   1.30103e+00   6.39246e+01   1.18001e+01
1.62003         9.99879e+00   5.19006e+00   4.05265e-04   2.09963e+00
1.67504         1.22985e-09   1.26659e+01   4.45572e+01   9.84567e+01

# S wave
#bin_low_edge   amp           d_amp         phase         d_phase
0.27914         1.37850e+00   1.66891e-01   5.55114e-01   2.26062e-01
0.336226        1.34070e+00   1.05817e-01   2.21132e-04   6.40389e-02
0.393312        1.14651e+00   7.78924e-02   1.83767e-04   5.85802e-02
0.450398        1.30499e+00   6.87082e-02   2.82985e-04   7.63721e-02
0.507484        1.52956e+00   6.36676e-02   2.26802e+00   1.27387e+00
0.56457         1.65266e+00   5.77349e-02   9.65901e-05   8.79518e-02
0.621656        1.78414e+00   5.26110e-02   4.43073e+00   1.59767e+00
0.678742        2.12032e+00   4.68133e-02   7.89644e-01   5.63719e-01
0.735828        2.64071e+00   4.49436e-02   6.83988e+00   1.41377e+00
0.792914        3.58412e+00   4.53622e-02   1.63621e-01   2.31972e-01
0.85            4.26461e+00   7.41571e-02   3.43393e-03   5.87712e-02
0.867857        4.97317e+00   7.66608e-02   1.89014e-02   7.44943e-02
0.885714        5.83524e+00   7.70526e-02   3.91040e+00   9.48818e-01
0.903571        6.93652e+00   8.15690e-02   2.02198e+00   6.55378e-01
0.921429        8.60878e+00   7.67877e-02   1.50378e+01   8.66135e-01
0.939286        1.13328e+01   7.77202e-02   1.30116e+01   5.23623e-01
0.957143        1.42619e+01   7.49251e-02   1.36480e+01   3.85186e-01
0.975           1.41809e+01   7.32352e-02   2.27000e+01   4.11620e-01
0.992857        1.25215e+01   7.32947e-02   2.62637e+01   5.50547e-01
1.01071         9.45424e+00   6.94818e-02   2.37169e+01   6.50769e-01
1.02857         7.61280e+00   7.31673e-02   8.09524e+00   4.37339e-01
1.04643         6.17075e+00   7.34807e-02   5.84895e+00   5.02860e-01
1.06429         4.68094e+00   7.38320e-02   1.98815e+00   4.68008e-01
1.08214         4.37166e+00   7.90636e-02   5.00475e+00   5.83449e-01
1.1             2.72266e+00   3.59239e-02   4.37041e+00   6.90156e-01
1.20501         1.66606e+00   3.86605e-02   9.77077e+00   1.22206e+00
1.31002         1.12082e+00   4.28068e-02   4.79229e-04   1.24107e-01
1.41502         9.76348e-01   4.93330e-02   3.61162e-07   1.19912e-01
1.52003         7.24929e-01   4.71325e-02   2.60139e-03   3.84951e-01
1.62504         5.72235e-01   5.98823e-02   8.22406e-01   4.08165e+00
