# D-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         0.638631        0               0               0               0               0              
0.356226        0.659           0               0.278747        0               0.278747        0              
0.433312        0.686173        0               0.372172        0               0.650919        0              
0.510398        0.721697        0               0.48717         0               1.13809         0              
0.587484        0.767867        0               0.634241        0               1.77233         0              
0.66457         0.828145        0               0.830003        0               2.60233         0              
0.741656        0.907926        0               1.10227         0               3.7046          0              
0.818742        1.01599         0               1.50063         0               5.20524         0              
0.895828        1.1675          0               2.12056         0               7.32579         0              
0.972914        1.39053         0               3.16413         0               10.4899         0              
1.05            1.74175         0               5.11408         0               15.604          0              
1.075           1.90056         0               2.37883         0               17.9828         0              
1.1             2.09124         0               2.92378         0               20.9066         0              
1.125           2.32188         0               3.65495         0               24.5616         0              
1.15            2.60162         0               4.65109         0               29.2127         0              
1.175           2.93793         0               6.01893         0               35.2316         0              
1.2             3.32858         0               7.87672         0               43.1083         0              
1.225           3.74254         0               10.2678         0               53.3761         0              
1.25            4.09194         0               12.9233         0               66.2994         0              
1.275           4.23691         0               14.9694         0               81.2688         0              
1.3             4.08871         0               15.2607         0               96.5295         0              
1.325           3.71289         0               13.5996         0               110.129         0              
1.35            3.25532         0               10.998          0               121.127         0              
1.375           2.81947         0               8.48652         0               129.614         0              
1.4             2.44454         0               6.47988         0               136.094         0              
1.45501         1.83508         0               9.5716          0               145.665         0              
1.51002         1.43773         0               5.82926         0               151.494         0              
1.56502         1.16743         0               3.84227         0               155.337         0              
1.62003         0.974526        0               2.69652         0               158.033         0              
1.67504         0.831076        0               1.98558         0               160.019         0              

# S-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.12976         0               0               0               0               0              
0.336226        1.1763          0               0.183491        0               0.183491        0              
0.393312        1.23667         0               0.238121        0               0.421613        0              
0.450398        1.31468         0               0.307785        0               0.729397        0              
0.507484        1.41603         0               0.400115        0               1.12951         0              
0.56457         1.54963         0               0.527835        0               1.65735         0              
0.621656        1.73002         0               0.713563        0               2.37091         0              
0.678742        1.98257         0               1.00081         0               3.37172         0              
0.735828        2.35551         0               1.48239         0               4.85412         0              
0.792914        2.9524          0               2.38615         0               7.24026         0              
0.85            4.03888         0               4.40002         0               11.6403         0              
0.867857        4.5812          0               2.23149         0               13.8718         0              
0.885714        5.29624         0               2.98762         0               16.8594         0              
0.903571        6.27085         0               4.17462         0               21.034          0              
0.921429        7.64516         0               6.15275         0               27.1868         0              
0.939286        9.61708         0               9.64767         0               36.8344         0              
0.957143        12.2476         0               15.8806         0               52.715          0              
0.975           14.4315         0               24.7304         0               77.4454         0              
0.992857        13.6725         0               28.4018         0               105.847         0              
1.01071         10.8821         0               21.4185         0               127.266         0              
1.02857         8.3848          0               13.1758         0               140.442         0              
1.04643         6.61881         0               8.10962         0               148.551         0              
1.06429         5.39206         0               5.29469         0               153.846         0              
1.08214         4.51421         0               3.66951         0               157.515         0              
1.1             3.86316         0               2.67192         0               160.187         0              
1.20501         2.01447         0               7.42443         0               167.612         0              
1.31002         1.31778         0               2.75667         0               170.368         0              
1.41502         0.957716        0               1.41961         0               171.788         0              
1.52003         0.739731        0               0.85825         0               172.646         0              
1.62504         0.594615        0               0.570977        0               173.217         0              

