# S-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.3785          0.166891        0.555114        0.226062        0.555114        0.226062       
0.336226        1.3407          0.105817        0.000221132     0.0640389       0.555335        0.234958       
0.393312        1.14651         0.0778924       0.000183767     0.0585802       0.555519        0.24215        
0.450398        1.30499         0.0687082       0.000282985     0.0763721       0.555802        0.253909       
0.507484        1.52956         0.0636676       2.26802         1.27387         2.82382         1.29893        
0.56457         1.65266         0.0577349       9.65901e-05     0.0879518       2.82392         1.30191        
0.621656        1.78414         0.052611        4.43073         1.59767         7.25464         2.06095        
0.678742        2.12032         0.0468133       0.789644        0.563719        8.04429         2.13665        
0.735828        2.64071         0.0449436       6.83988         1.41377         14.8842         2.56204        
0.792914        3.58412         0.0453622       0.163621        0.231972        15.0478         2.57252        
0.85            4.26461         0.0741571       0.00343393      0.0587712       15.0512         2.57319        
0.867857        4.97317         0.0766608       0.0189014       0.0744943       15.0701         2.57427        
0.885714        5.83524         0.0770526       3.9104          0.948818        18.9805         2.74356        
0.903571        6.93652         0.081569        2.02198         0.655378        21.0025         2.82075        
0.921429        8.60878         0.0767877       15.0378         0.866135        36.0403         2.95073        
0.939286        11.3328         0.0777202       13.0116         0.523623        49.0519         2.99683        
0.957143        14.2619         0.0749251       13.648          0.385186        62.6998         3.02148        
0.975           14.1809         0.0732352       22.7            0.41162         85.3999         3.04939        
0.992857        12.5215         0.0732947       26.2637         0.550547        111.664         3.09869        
1.01071         9.45424         0.0694818       23.7169         0.650769        135.38          3.16629        
1.02857         7.6128          0.0731673       8.09524         0.437339        143.476         3.19635        
1.04643         6.17075         0.0734807       5.84895         0.50286         149.325         3.23567        
1.06429         4.68094         0.073832        1.98815         0.468008        151.313         3.26934        
1.08214         4.37166         0.0790636       5.00475         0.583449        156.318         3.32099        
1.1             2.72266         0.0359239       4.37041         0.690156        160.688         3.39195        
1.20501         1.66606         0.0386605       9.77077         1.22206         170.459         3.60538        
1.31002         1.12082         0.0428068       0.000479229     0.124107        170.459         3.60751        
1.41502         0.976348        0.049333        3.61162e-07     0.119912        170.459         3.6095         
1.52003         0.724929        0.0471325       0.00260139      0.384951        170.462         3.62997        
1.62504         0.572235        0.0598823       0.822406        4.08165         171.284         5.46228        
1.73004982      0               0               0               0               0               0

