# S-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.12976         0               0               0               0               0              
0.336226        1.1763          0               0.183491        0               0.183491        0              
0.393312        1.23667         0               0.238121        0               0.421613        0              
0.450398        1.31468         0               0.307785        0               0.729397        0              
0.507484        1.41603         0               0.400115        0               1.12951         0              
0.56457         1.54963         0               0.527835        0               1.65735         0              
0.621656        1.73002         0               0.713563        0               2.37091         0              
0.678742        1.98257         0               1.00081         0               3.37172         0              
0.735828        2.35551         0               1.48239         0               4.85412         0              
0.792914        2.9524          0               2.38615         0               7.24026         0              
0.85            4.03888         0               4.40002         0               11.6403         0              
0.867857        4.5812          0               2.23149         0               13.8718         0              
0.885714        5.29624         0               2.98762         0               16.8594         0              
0.903571        6.27085         0               4.17462         0               21.034          0              
0.921429        7.64516         0               6.15275         0               27.1868         0              
0.939286        9.61708         0               9.64767         0               36.8344         0              
0.957143        12.2476         0               15.8806         0               52.715          0              
0.975           14.4315         0               24.7304         0               77.4454         0              
0.992857        13.6725         0               28.4018         0               105.847         0              
1.01071         10.8821         0               21.4185         0               127.266         0              
1.02857         8.3848          0               13.1758         0               140.442         0              
1.04643         6.61881         0               8.10962         0               148.551         0              
1.06429         5.39206         0               5.29469         0               153.846         0              
1.08214         4.51421         0               3.66951         0               157.515         0              
1.1             3.86316         0               2.67192         0               160.187         0              
1.20501         2.01447         0               7.42443         0               167.612         0              
1.31002         1.31778         0               2.75667         0               170.368         0              
1.41502         0.957716        0               1.41961         0               171.788         0              
1.52003         0.739731        0               0.85825         0               172.646         0              
1.62504         0.594615        0               0.570977        0               173.217         0              


