#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         2.23668         0.776205        0               0               0               0              
0.356226        0.633174        0.0976349       84.1855         18.068          84.1855         18.068         
0.433312        0.600314        0.0370286       1.58619e-07     1.46931         84.1855         18.1276        
0.510398        0.646671        0.0193421       10.5559         7.62564         94.7414         19.6662        
0.587484        0.769986        0.014225        8.61072         3.79339         103.352         20.0287        
0.66457         0.855107        0.0116689       0.335883        0.506836        103.688         20.0352        
0.741656        0.88024         0.00972113      4.23987         1.91397         107.928         20.1264        
0.818742        1.04002         0.00908319      0.168805        0.606228        108.097         20.1355        
0.895828        1.26506         0.00913654      1.41181         1.30966         109.508         20.178         
0.972914        1.52544         0.00897196      6.90689         1.46929         116.415         20.2315        
1.05            1.75649         0.0161173       0.00239187      1.72451         116.418         20.3048        
1.075           1.92421         0.0166637       10.1144         2.03628         126.532         20.4067        
1.1             2.13038         0.0173704       6.07985e-05     0.518831        126.532         20.4133        
1.125           2.30053         0.0180264       0.000203401     0.485891        126.532         20.4191        
1.15            2.58809         0.0194883       15.989          2.13309         142.521         20.5302        
1.175           2.92006         0.0211274       4.50982         1.36091         147.031         20.5752        
1.2             3.44158         0.0238667       0.00211244      0.464534        147.033         20.5805        
1.225           3.7559          0.025871        13.2782         1.51744         160.312         20.6363        
1.25            3.89056         0.0273676       11.7893         1.67197         172.101         20.704         
1.275           4.11928         0.0310951       25.9521         1.50813         198.053         20.7588        
1.3             3.72427         0.0340295       11.9745         1.44582         210.027         20.8091        
1.325           3.48791         0.0447509       6.70469         1.51682         216.732         20.8643        
1.35            3.03967         0.0580484       3.03197         1.66893         219.764         20.931         
1.375           2.535           0.0655491       20.4279         1.95344         240.192         21.0219        
1.4             2.07554         0.0588995       3.71185         1.75868         243.904         21.0954        
1.45501         1.54368         0.0879373       19.5375         4.60558         263.441         21.5923        
1.51002         1.21791         0.131934        23.9386         16.5602         287.38          27.2115        
1.56502         2.47275         0.344281        0.000121381     19.0271         287.38          33.2038        
1.62003         1.89982         1.16492         0.000168791     121.967         287.38          126.406        
1.67504         16.6215         13.0758         180             38.6092         467.38          132.171        
1.73004982      0               0               0               0               0               0
