#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         2.01594         0.249224        0               0               0               0              
0.359355        2.63145         0.0990288       0.00125659      0.694957        0.00125659      0.694957       
0.43957         2.68355         0.0535812       0.00157173      1.47935         0.00282832      1.63445        
0.519785        3.25729         0.0354228       4.98158         1.80672         4.98441         2.43633        
0.6             3.92195         0.0510753       9.31136         1.4998          14.2958         2.86096        
0.629167        4.79211         0.0503337       0.00411813      0.301           14.2999         2.87675        
0.658333        5.37237         0.0474842       3.5697          1.50814         17.8696         3.2481         
0.6875          6.58102         0.0474572       5.18629         1.46993         23.0559         3.56523        
0.716667        7.81216         0.0440055       22.565          1.54501         45.6209         3.88561        
0.745833        8.69381         0.0433758       35.7787         1.44358         81.3996         4.1451         
0.775           8.49448         0.0413342       0.0127212       0.269452        81.4123         4.15385        
0.804167        7.54775         0.0407812       19.0642         1.20175         100.477         4.3242         
0.833333        6.3279          0.0409975       13.5704         1.15081         114.047         4.47471        
0.8625          5.0435          0.0394474       4.99691         1.18576         119.044         4.62915        
0.891667        4.1218          0.0407033       14.4177         1.93675         133.461         5.01797        
0.920833        3.54088         0.0395366       10.9437         1.7686          144.405         5.32053        
0.95            2.78056         0.0257375       9.0171e-06      0.343462        144.405         5.3316         
1.028           1.9803          0.0277718       11.3087         1.61274         155.714         5.57018        
1.10601         1.48089         0.0291064       0.305197        0.776489        156.019         5.62404        
1.18401         1.16223         0.028271        6.839e-06       0.637107        156.019         5.66001        
1.26202         0.924171        0.0295516       20.0847         5.31331         176.104         7.76318        
1.34002         0.820494        0.0448777       17.0745         6.62274         193.178         10.2043        
1.41803         0.696138        0.0684617       0.0616447       7.04594         193.24          12.4005        
1.49603         0.325533        0.123663        7.73546         8.72276         200.975         15.1611        
1.57404         1.20202         0.28582         44.5084         12.1884         245.484         19.4529        
1.65204         8.05213         0.865808        180             1.31588         425.484         19.4974        
1.73004982      0               0               0               0               0               0
