#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.86521         0               0               0               0               0              
0.359355        2.05654         0               1.30426         0               1.30426         0              
0.43957         2.35689         0               2.06244         0               3.36671         0              
0.519785        2.84992         0               3.43333         0               6.80004         0              
0.6             3.73484         0               6.35968         0               13.1597         0              
0.629167        4.23838         0               3.76992         0               16.9296         0              
0.658333        4.90049         0               5.1846          0               22.1142         0              
0.6875          5.77407         0               7.39357         0               29.5078         0              
0.716667        6.87983         0               10.8648         0               40.3726         0              
0.745833        8.04291         0               15.8705         0               56.2431         0              
0.775           8.63105         0               20.9012         0               77.1442         0              
0.804167        8.03864         0               21.7307         0               98.8749         0              
0.833333        6.72928         0               17.4172         0               116.292         0              
0.8625          5.44448         0               12.1196         0               128.412         0              
0.891667        4.43082         0               8.22126         0               136.633         0              
0.920833        3.67088         0               5.71727         0               142.35          0              
0.95            3.09948         0               4.12481         0               146.475         0              
1.028           2.12804         0               6.7714          0               153.246         0              
1.10601         1.58084         0               3.72            0               156.966         0              
1.18401         1.23633         0               2.31821         0               159.285         0              
1.26202         1.00195         0               1.56916         0               160.854         0              
1.34002         0.833411        0               1.12517         0               161.979         0              
1.41803         0.707125        0               0.841677        0               162.821         0              
1.49603         0.609447        0               0.650298        0               163.471         0              
1.57404         0.531974        0               0.515411        0               163.986         0              
1.65204         0.469259        0               0.417018        0               164.403         0              
