# D-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         2.80276e-06     0.804407        -28.9593        1.26233         -28.9593        1.26233        
0.375498        0.0629454       0.0280931       54.849          1.26069         25.8896         1.78404        
0.471855        1.54103e-11     0.000699359     -71.0501        1.26491         -45.1605        2.18696        
0.568213        1.76064e-15     0.00011079      -77.2535        1.26518         -122.414        2.52655        
0.66457         0.295458        0.00541795      -113.87         1.26907         -236.284        2.82737        
0.760928        0.341891        0.00562547      1.51637         1.14383         -234.767        3.04998        
0.857285        0.469424        0.00587822      -9.2105         1.09196         -243.978        3.23956        
0.953643        0.553818        0.00511121      5.71407         1.21116         -238.264        3.45856        
1.05            0.625167        0.0077786       1.90505         1.4131          -236.359        3.73611        
1.075           0.684129        0.00794919      8.05132         1.51495         -228.307        4.03157        
1.1             0.74845         0.00834164      3.84467         1.52022         -224.463        4.30867        
1.125           0.808818        0.00874412      1.93103         1.58186         -222.532        4.58988        
1.15            0.910135        0.00978975      12.7038         1.54029         -209.828        4.84143        
1.175           1.04394         0.0109236       -4.69872        1.42515         -214.526        5.04683        
1.2             1.21916         0.0122474       11.187          1.39169         -203.339        5.2352         
1.225           1.32355         0.0134625       10.2587         1.37218         -193.081        5.41204        
1.25            1.37725         0.0144786       13.322          1.31927         -179.759        5.57052        
1.275           1.53865         0.0165261       30.3424         1.46013         -149.416        5.7587         
1.3             1.31978         0.0166448       0.0396779       1.71102         -149.377        6.00752        
1.325           1.34253         0.0208972       19.0572         1.817           -130.319        6.27628        
1.35            1.19007         0.024979        1.35711         1.90938         -128.962        6.56029        
1.375           0.861676        0.0360136       22.6609         2.04442         -106.301        6.87147        
1.4             0.704641        0.0485069       0.173757        2.33082         -106.128        7.25602        
1.44126         4.78297e-10     0.00425585      -139.999        30.1359         -246.126        30.9972        
1.48251         5.5574e-11      0.0339222       -88.4952        5.11043         -334.621        31.4156        
1.52377         1.06877         0.151639        -138.785        3.8412          -473.407        31.6496        
1.56502         2.60233         0.262179        4.51086         4.81514         -468.896        32.0138        
1.60628         5.85026         0.534145        14.8099         5.35596         -454.086        32.4587        
1.64754         9.42724         0.095762        0.997561        7.46897         -453.088        33.3069        
1.68879         8.40906         0.831333        -32.1764        25.8655         -485.265        42.1708        
