# P-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.86521         0               12.48           0               12.48           0              
0.332617        0.462521        0.0552533       0.665442        1.25827         13.1455         1.25827        
0.386094        0.430345        0.0288237       33.5329         1.2403          46.6784         1.76681        
0.43957         0.416484        0.0176463       -12.4971        1.21491         34.1813         2.14421        
0.493047        0.49511         0.0125665       20.3569         1.19189         54.5382         2.45321        
0.546523        0.524963        0.0100595       20.6271         1.18376         75.1654         2.72388        
0.6             0.651419        0.0129933       18.1453         1.18396         93.3107         2.97006        
0.628571        0.757646        0.0128997       -9.22223        1.18445         84.0885         3.19753        
0.657143        0.796452        0.0128251       3.02453         1.14559         87.113          3.39655        
0.685714        1.0426          0.0131742       8.71345         1.10363         95.8264         3.57135        
0.714286        1.1972          0.0126552       24.0582         1.09214         119.885         3.73461        
0.742857        1.39343         0.012798        28.7581         1.10889         148.643         3.89576        
0.771429        1.41053         0.0126404       -3.88642        1.14836         144.756         4.06149        
0.8             1.27199         0.0122976       31.3564         1.13817         176.113         4.21795        
0.828571        1.08875         0.0122098       6.811           1.10877         182.924         4.36125        
0.857143        0.79465         0.012612        -0.261038       1.18268         182.663         4.51876        
0.885714        0.653475        0.0136718       5.11638         1.18973         187.779         4.67276        
0.914286        0.540294        0.0151256       6.8212          1.28962         194.6           4.84745        
0.942857        0.465875        0.0171112       7.31876         1.48486         201.919         5.06977        
0.971429        0.311449        0.0206934       1.43198         1.67595         203.351         5.33961        
1               0.28588         0.0176269       3.14997         1.71495         206.501         5.60825        
1.073           0.168782        0.015987        0.544149        2.11959         207.045         5.99542        
1.14601         0.252191        0.0202618       22.3074         2.25249         229.353         6.40459        
1.21901         0.285425        0.0143372       2.31975         2.61144         231.672         6.91653        
1.29202         0.233952        0.0229433       37.3502         3.45059         269.023         7.72949        
1.36502         0.253026        0.0207495       -78.9824        4.69069         190.04          9.04143        
1.43803         0.00217246      0.0169471       139.996         9.66347         330.036         13.2337        
1.51103         5.36072e-09     0.0154522       -133.189        8.61018         196.847         15.7881        
1.58404         0.709437        0.0889045       65.736          8.33743         262.583         17.8544        
1.65704         2.32824         0.104921        -140            2.02529         122.583         17.9689        
