# P-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         1.86521         0               12.48           0               12.48           0              
0.332617        0.462521        0.0552533       0.665442        1.25827         13.1455         1.25827        
0.386094        0.430345        0.0288237       33.5329         1.2403          46.6784         1.76681        
0.43957         0.416484        0.0176463       -12.4971        1.21491         34.1813         2.14421        
0.493047        0.49511         0.0125665       20.3569         1.19189         54.5382         2.45321        
0.546523        0.524963        0.0100595       20.6271         1.18376         75.1654         2.72388        
0.6             0.651419        0.0129933       18.1453         1.18396         93.3107         2.97006        
0.628571        0.757646        0.0128997       -9.22223        1.18445         84.0885         3.19753        
0.657143        0.796452        0.0128251       3.02453         1.14559         87.113          3.39655        
0.685714        1.0426          0.0131742       8.71345         1.10363         95.8264         3.57135        
0.714286        1.1972          0.0126552       24.0582         1.09214         119.885         3.73461        
0.742857        1.39343         0.012798        28.7581         1.10889         148.643         3.89576        
0.771429        1.41053         0.0126404       -3.88642        1.14836         144.756         4.06149        
0.8             1.27199         0.0122976       31.3564         1.13817         176.113         4.21795        
0.828571        1.08875         0.0122098       6.811           1.10877         182.924         4.36125        
0.857143        0.79465         0.012612        -0.261038       1.18268         182.663         4.51876        
0.885714        0.653475        0.0136718       5.11638         1.18973         187.779         4.67276        
0.914286        0.540294        0.0151256       6.8212          1.28962         194.6           4.84745        
0.942857        0.465875        0.0171112       7.31876         1.48486         201.919         5.06977        
0.971429        0.311449        0.0206934       1.43198         1.67595         203.351         5.33961        
1               0.28588         0.0176269       3.14997         1.71495         206.501         5.60825        
1.073           0.168782        0.015987        0.544149        2.11959         207.045         5.99542        
1.14601         0.252191        0.0202618       22.3074         2.25249         229.353         6.40459        
1.21901         0.285425        0.0143372       2.31975         2.61144         231.672         6.91653        
1.29202         0.233952        0.0229433       37.3502         3.45059         269.023         7.72949        
1.36502         0.253026        0.0207495       -78.9824        4.69069         190.04          9.04143        
1.43803         0.00217246      0.0169471       139.996         9.66347         330.036         13.2337        
1.51103         5.36072e-09     0.0154522       -133.189        8.61018         196.847         15.7881        
1.58404         0.709437        0.0889045       65.736          8.33743         262.583         17.8544        
1.65704         2.32824         0.104921        -140            2.02529         122.583         17.9689        

# D-Bin
#bin_low_edge   amplitude       d_amplitude     phase_diff      d_phase_diff    phase           d_phase         
0.27914         2.80276e-06     0.804407        -28.9593        1.26233         -28.9593        1.26233        
0.375498        0.0629454       0.0280931       54.849          1.26069         25.8896         1.78404        
0.471855        1.54103e-11     0.000699359     -71.0501        1.26491         -45.1605        2.18696        
0.568213        1.76064e-15     0.00011079      -77.2535        1.26518         -122.414        2.52655        
0.66457         0.295458        0.00541795      -113.87         1.26907         -236.284        2.82737        
0.760928        0.341891        0.00562547      1.51637         1.14383         -234.767        3.04998        
0.857285        0.469424        0.00587822      -9.2105         1.09196         -243.978        3.23956        
0.953643        0.553818        0.00511121      5.71407         1.21116         -238.264        3.45856        
1.05            0.625167        0.0077786       1.90505         1.4131          -236.359        3.73611        
1.075           0.684129        0.00794919      8.05132         1.51495         -228.307        4.03157        
1.1             0.74845         0.00834164      3.84467         1.52022         -224.463        4.30867        
1.125           0.808818        0.00874412      1.93103         1.58186         -222.532        4.58988        
1.15            0.910135        0.00978975      12.7038         1.54029         -209.828        4.84143        
1.175           1.04394         0.0109236       -4.69872        1.42515         -214.526        5.04683        
1.2             1.21916         0.0122474       11.187          1.39169         -203.339        5.2352         
1.225           1.32355         0.0134625       10.2587         1.37218         -193.081        5.41204        
1.25            1.37725         0.0144786       13.322          1.31927         -179.759        5.57052        
1.275           1.53865         0.0165261       30.3424         1.46013         -149.416        5.7587         
1.3             1.31978         0.0166448       0.0396779       1.71102         -149.377        6.00752        
1.325           1.34253         0.0208972       19.0572         1.817           -130.319        6.27628        
1.35            1.19007         0.024979        1.35711         1.90938         -128.962        6.56029        
1.375           0.861676        0.0360136       22.6609         2.04442         -106.301        6.87147        
1.4             0.704641        0.0485069       0.173757        2.33082         -106.128        7.25602        
1.44126         4.78297e-10     0.00425585      -139.999        30.1359         -246.126        30.9972        
1.48251         5.5574e-11      0.0339222       -88.4952        5.11043         -334.621        31.4156        
1.52377         1.06877         0.151639        -138.785        3.8412          -473.407        31.6496        
1.56502         2.60233         0.262179        4.51086         4.81514         -468.896        32.0138        
1.60628         5.85026         0.534145        14.8099         5.35596         -454.086        32.4587        
1.64754         9.42724         0.095762        0.997561        7.46897         -453.088        33.3069        
1.68879         8.40906         0.831333        -32.1764        25.8655         -485.265        42.1708        

